pos_x,pos_y,pos_z,swing,arm,boom,bucket,trackRight,trackLeft
5.5050,-0.2394,0.0000,0.0000,50.0000,35.0000,0.0000,0.0000,0.0000
5.5050,-0.2394,0.0000,0.0000,50.0004,35.0000,0.0000,0.0000,0.0000
5.5051,-0.2394,0.0000,0.0000,50.0007,35.0000,0.0000,0.0000,0.0000
5.5051,-0.2393,0.0000,0.0000,50.0011,35.0000,0.0000,0.0000,0.0000
5.5051,-0.2393,0.0000,0.0000,50.0015,35.0000,0.0000,0.0000,0.0000
5.5051,-0.2393,0.0000,0.0000,50.0018,35.0000,0.0000,0.0000,0.0000
5.5051,-0.2393,0.0000,0.0000,50.0022,35.0000,0.0000,0.0000,0.0000
5.5052,-0.2393,0.0000,0.0000,50.0025,35.0000,0.0000,0.0000,0.0000
5.5052,-0.2393,0.0000,0.0000,50.0029,35.0000,0.0000,0.0000,0.0000
5.5052,-0.2393,0.0000,0.0000,50.0032,35.0000,0.0000,0.0000,0.0000
5.5052,-0.2393,0.0000,0.0000,50.0036,35.0000,0.0000,0.0000,0.0000
5.5052,-0.2393,0.0000,0.0000,50.0040,35.0000,0.0000,0.0000,0.0000
5.5053,-0.2393,0.0000,0.0000,50.0043,35.0000,0.0000,0.0000,0.0000
5.5053,-0.2393,0.0000,0.0000,50.0047,35.0000,0.0000,0.0000,0.0000
5.5053,-0.2393,0.0000,0.0000,50.0050,35.0000,0.0000,0.0000,0.0000
5.5053,-0.2393,0.0000,0.0000,50.0054,35.0000,0.0000,0.0000,0.0000
5.5053,-0.2393,0.0000,0.0000,50.0058,35.0000,0.0000,0.0000,0.0000
5.5053,-0.2393,0.0000,0.0000,50.0061,35.0000,0.0000,0.0000,0.0000
5.5054,-0.2393,0.0000,0.0000,50.0065,35.0000,0.0000,0.0000,0.0000
5.5054,-0.2393,0.0000,0.0000,50.0069,35.0000,0.0000,0.0000,0.0000
5.5054,-0.2393,0.0000,0.0000,50.0072,35.0000,0.0000,0.0000,0.0000
5.5054,-0.2393,0.0000,0.0000,50.0076,35.0000,0.0000,0.0000,0.0000
5.5054,-0.2393,0.0000,0.0000,50.0080,35.0000,0.0000,0.0000,0.0000
5.5055,-0.2393,0.0000,0.0000,50.0083,35.0000,0.0000,0.0000,0.0000
5.5055,-0.2393,0.0000,0.0000,50.0087,35.0000,0.0000,0.0000,0.0000
5.5055,-0.2393,0.0000,0.0000,50.0090,35.0000,0.0000,0.0000,0.0000
5.5055,-0.2393,0.0000,0.0000,50.0094,35.0000,0.0000,0.0000,0.0000
5.5055,-0.2393,0.0000,0.0000,50.0098,35.0000,0.0000,0.0000,0.0000
5.5055,-0.2393,0.0000,0.0000,50.0101,35.0000,0.0000,0.0000,0.0000
5.5056,-0.2393,0.0000,0.0000,50.0105,35.0000,0.0000,0.0000,0.0000
5.5056,-0.2393,0.0000,0.0000,50.0108,35.0000,0.0000,0.0000,0.0000
5.5056,-0.2393,0.0000,0.1136,50.0112,35.0000,0.0000,0.0000,0.0000
5.5056,-0.2393,0.0000,0.2712,50.0116,35.0000,0.0000,0.0000,0.0000
5.5056,-0.2393,0.0000,0.4711,50.0119,35.0000,0.0000,0.0000,0.0000
5.5057,-0.2393,0.0000,0.6709,50.0123,35.0000,0.0000,0.0000,0.0000
